Time stamp, File name, Build version, Zone tolerance, lambda (nm), P (um), Q (um), Obscuration sigma, NA, Zernikes, Custom mask index, ZP tilt (rad), Azimuthal (deg), CRA (deg), Anamorphic fac, ZPC phase (deg), ZPC apodization, Ap function, ZPC inner rad, ZPC outer rad, Zone bias (nm), File format, Tone reversal, Buttressing, Buttress width, Buttress period, Off-axis centering, WRV blocksize, Multiple patterning N, Multiple patterning i, Layer number, Curl on, Exec string
2019-01-13 17:14:48,Untitled,ZPGen v2.7, 0.0100,13.5000,500.0000,10000000000.0000,0.0000,0.0800,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,10.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,./src/bin/ZPGen  0.0100  13.5000  500.0000  10000000000.0000  0.0000  0.0800  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  10.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Untitled
2019-01-13 17:27:02,Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,3,0,0,0.6000,6.0000,0,1000000,1,1,1,0 ,./src/bin/ZPGen  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  3  0  0  0.6000  6.0000  0  1000000  1  1  1  0 src/ZPFiles/Small_zp
2019-01-13 17:27:13,Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,3,0,0,0.6000,6.0000,0,1000000,1,1,1,0 ,./src/bin/ZPGen  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  3  0  0  0.6000  6.0000  0  1000000  1  1  1  0 src/ZPFiles/Small_zp
2019-01-13 20:46:28,Very_Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0100,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,0.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,./src/bin/ZPGen  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0100  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  0.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Very_Small_zp
2019-01-13 20:46:41,Very_Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0100,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,0.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,./src/bin/ZPGen  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0100  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  0.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Very_Small_zp
2019-01-13 20:48:56,Very_Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0100,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,0.0000,3,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,./src/bin/ZPGen  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0100  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  0.0000  3  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Very_Small_zp
2019-01-13 20:50:20,Very_Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0100,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,0.0000,3,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,./src/bin/ZPGen  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0100  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  0.0000  3  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Very_Small_zp
2019-01-13 20:53:12,Very_Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0100,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,1.0000,3,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,./src/bin/ZPGen  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0100  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  1.0000  3  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Very_Small_zp
